,Date,Heure,ID,followers,is_user_verified,len,like,location,name,retweets,source,tweet
22,13-Nov-2020,14:09:02,1.327252131871662e+18,57.0,0.0,140.0,0.0,France,parissurlelocal,5.0,Twitter for iPhone,RT @ccifrance: [Média] Le réseau #CCI appelle les consommateurs à utiliser les plates-formes numériques locales ou à attendre le 1er décemb…
23,13-Nov-2020,14:07:54,1.3272518505009684e+18,7116.0,0.0,139.0,0.0,France,ElianeCarrier,15.0,Twitter Web App,"RT @GilbertCollard: #Covid19 Ce qu'il faut c'est que le gouvernement, une fois pour toutes, parle vrai ! Dans la manière dont la #pandémie…"
24,13-Nov-2020,14:04:12,1.3272509164126904e+18,468.0,0.0,139.0,0.0,"Toulouse, France",RashoevM,15.0,Twitter for Android,"RT @GilbertCollard: #Covid19 Ce qu'il faut c'est que le gouvernement, une fois pour toutes, parle vrai ! Dans la manière dont la #pandémie…"
25,13-Nov-2020,14:04:01,1.3272508692938138e+18,130.0,0.0,140.0,0.0,,LeRamenDeNarut1,27.0,Twitter Web App,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
26,13-Nov-2020,14:03:56,1.327250848834007e+18,59.0,0.0,139.0,0.0,,remoni45,15.0,Twitter Web App,"RT @GilbertCollard: #Covid19 Ce qu'il faut c'est que le gouvernement, une fois pour toutes, parle vrai ! Dans la manière dont la #pandémie…"
27,13-Nov-2020,14:03:21,1.3272507019704525e+18,306.0,0.0,140.0,0.0,France,RegasDaniel,27.0,Twitter for Android,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
28,13-Nov-2020,14:03:13,1.327250668130857e+18,59.0,0.0,140.0,0.0,,remoni45,27.0,Twitter Web App,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
29,13-Nov-2020,14:03:09,1.3272506546000282e+18,3574.0,0.0,140.0,0.0,01 74 60 51 00,ccism77,5.0,Twitter Web App,RT @ccifrance: [Média] Le réseau #CCI appelle les consommateurs à utiliser les plates-formes numériques locales ou à attendre le 1er décemb…
30,13-Nov-2020,14:02:20,1.3272504464535183e+18,3466.0,0.0,140.0,0.0,,rosyjour,27.0,Twitter for iPad,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
31,13-Nov-2020,14:01:41,1.327250282250711e+18,1264.0,0.0,140.0,0.0,France,Jrme63057208,27.0,Twitter for Android,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
32,13-Nov-2020,14:00:07,1.3272498903055647e+18,25.0,0.0,139.0,0.0,"Château-d'Olonne, France",chauvin_joelle,15.0,Twitter for Android,"RT @GilbertCollard: #Covid19 Ce qu'il faut c'est que le gouvernement, une fois pour toutes, parle vrai ! Dans la manière dont la #pandémie…"
